denomination_name,denomination_id,published_churches_count,churches_urban,churches_rural,members_total,members_urban,members_rural,members_average_total,members_average_urban,members_average_rural,members_male,members_female,members_sex_unreported,members_over_13,members_under_13,members_age_unreported,church_edifices,churches_reporting_value,churches_value,churches_average_value,churches_reporting_debt,churches_debt,urban_church_edifices,urban_churches_reporting_value,urban_churches_value,urban_churches_average_value,urban_churches_reporting_debt,urban_churches_debt,rural_church_edifices,rural_churches_reporting_value,rural_churches_value,rural_churches_average_value,rural_churches_reporting_debt,rural_churches_debt,churches_reporting_expenditures,total_expenditures,expenses,benevolences,unclassified_expenditures,expenditures_average,urban_churches_reporting_expenditures,urban_total_expenditures,urban_expenses,urban_benevolences,urban_unclassified_expenditures,urban_expenditures_average,rural_churches_reporting_expenditures,rural_total_expenditures,rural_expenses,rural_benevolences,rural_unclassified_expenditures,rural_expenditures_average,parsonage_value_churches_reporting,parsonage_value,parsonage_value_average,parsonage_debt_churches_reporting,parsonage_debt,sunday_schools_churches_reporting,sunday_schools_officers_teachers,sunday_schools_scholars,sunday_schools_scholars_average,urban_sunday_schools_churches_reporting,urban_sunday_schools_officers_teachers,urban_sunday_schools_scholars,urban_sunday_schools_scholars_average,rural_sunday_schools_churches_reporting,rural_sunday_schools_officers_teachers,rural_sunday_schools_scholars,rural_sunday_schools_scholars_average,Start Table 33,black_part_whole_churches,black_churches_total ,black_churches_urban,black_churches_rural,black_members_total,black_members_urban,black_members_rural,black_members_average_total,black_members_average_urban,black_members_average_rural,black_members_male,black_members_female,black_members_sex_unreported,Start Table 34,black_church_edifices,black_churches_reporting_value,black_churches_value,black_churches_average_value,black_churches_reporting_debt,black_churches_debt,black_urban_church_edifices,black_urban_churches_reporting_value,black_urban_churches_value,black_urban_churches_average_value,black_urban_churches_reporting_debt,black_urban_churches_debt,black_rural_church_edifices,black_rural_churches_reporting_value,black_rural_churches_value,black_rural_churches_average_value,black_rural_churches_reporting_debt,black_rural_churches_debt,Start Table 35,black_churches_reporting_expenditures,black_total_expenditures,black_expenses,black_benevolences,black_unclassified_expenditures,black_expenditures_average,black_urban_churches_reporting_expenditures,black_urban_total_expenditures,black_urban_expenses,black_urban_benevolences,black_urban_expenditures_average,black_rural_churches_reporting_expenditures,black_rural_total_expenditures,black_rural_expenses,black_rural_benevolences,black_rural_expenditures_average,Start Table 36,black_parsonage_value_churches_reporting,black_parsonage_value,black_parsonage_value_average,black_parsonage_debt_churches_reporting,black_parsonage_debt,black_sunday_schools_churches_reporting,black_sunday_schools_officers_teachers,black_sunday_schools_scholars,black_sunday_schools_scholars_average,black_urban_sunday_schools_churches_reporting,black_urban_sunday_schools_officers_teachers,black_urban_sunday_schools_scholars,black_urban_sunday_schools_scholars_average,black_rural_sunday_schools_churches_reporting,black_rural_sunday_schools_officers_teachers,black_rural_sunday_schools_scholars,black_rural_sunday_schools_scholars_average
Finnish Evangelical Luteran National Church of America,1-1-2,70,17,53,7788,3321,4467,111,195,84,3853,3935,NA,5203,2519,66,50,48,220050,4584,8,15650,11,10,131500,13150,4,13800,39,38,88550,2330,4,1850,64,28316,24397,3919,NA,442,16,17234,14849,2385,NA,1077,48,11082,9548,1534,NA,231,6,20800,3467,3,4006,39,197,1414,36,12,94,709,59,27,103,705,26,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finnish Apostolic Luteran Church,1-1-3,138,38,100,24016,5518,18498,174,145,185,10833,10547,2636,14499,6677,2840,80,78,226090,2899,14,11683,16,16,89300,5581,5,8425,64,62,136790,2206,9,3258,100,39728,20901,8829,9998,397,28,17750,8289,3053,6408,634,72,21978,12612,5776,3590,305,1,2500,NA,NA,NA,35,229,1924,55,7,61,405,58,28,168,1519,54,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church of the Lutheran Brethren of America,1-0-7,26,9,17,1700,961,739,65,107,43,828,872,NA,1227,453,20,22,21,102100,4862,6,8730,8,8,77500,9688,5,8700,14,13,24600,1892,1,30,24,37889,21352,15737,800,1579,9,26693,17279,8614,800,2966,15,11196,4073,7123,NA,746,3,11500,3833,2,2300,19,144,929,49,9,103,736,82,10,41,193,19,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evangelical Lutheran Jehovah Conference,2-1-6,3,1,2,851,239,612,284,NA,306,371,480,NA,506,345,NA,3,3,31000,10333,1,2000,1,1,15000,NA,1,2000,2,2,16000,8000,NA,NA,3,6602,6063,539,NA,2201,1,3158,3033,125,NA,NA,2,3444,3030,414,NA,1722,2,8000,4000,1,500,3,38,368,123,1,5,55,NA,2,33,313,157,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Independent Lutheran Congregations ,2-0-1,50,27,23,11804,8719,3085,236,323,134,5163,5828,813,6796,2763,2245,52,46,1126250,24484,19,160995,28,24,975950,40665,13,148595,24,22,150300,6832,6,12400,50,169351,156628,12723,NA,3387,27,138202,131650,6552,NA,5119,23,31149,24978,6171,NA,1354,24,217900,9079,8,26725,34,272,2770,81,22,195,1892,86,12,77,878,73,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mennonite Church,1-1-8,295,60,235,34039,6820,27219,115,114,116,15852,18187,NA,31983,520,1536,270,264,1565800,5931,9,6886,56,55,396100,7202,4,5776,214,209,1169700,5597,5,1111,279,320151,150589,169087,475,1147,58,87394,43071,44323,NA,1507,221,232757,107518,124764,475,1053,18,86750,4819,1,1000,261,4252,37788,145,54,1009,9308,172,207,3243,28480,138,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hutterian Brethren, Mennonites",1-1-9,6,1,5,700,27,673,117,NA,135,347,353,NA,691,NA,200,5,5,19000,3800,NA,NA,1,1,1000,NA,NA,NA,4,4,18000,4500,NA,NA,3,9645,1645,8000,NA,3215,NA,NA,NA,NA,NA,NA,3,9645,1645,8000,NA,3215,NA,NA,NA,NA,NA,3,15,115,38,1,6,20,NA,2,9,95,48,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conservative Amish Mennonite Church,1-2-0,7,1,6,691,94,597,99,NA,100,335,356,NA,691,NA,NA,8,7,16845,2406,NA,NA,1,1,1200,NA,NA,NA,7,6,15645,2608,NA,NA,5,2718,1138,1580,NA,544,1,111,111,NA,NA,NA,4,2607,1027,1580,NA,652,NA,NA,NA,NA,NA,6,99,871,145,NA,NA,NA,NA,6,99,871,145,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Order Amish Mennonite Church,1-2-1,71,14,57,6006,1217,4789,85,87,84,2874,3132,NA,5755,NA,247,6,5,20300,4060,1,1100,1,1,2500,NA,NA,NA,5,4,17800,4450,1,1100,35,8011,2407,5604,NA,229,10,2901,478,2423,NA,290,25,5110,1929,3181,NA,204,NA,NA,NA,NA,NA,13,116,898,69,3,42,335,112,10,74,563,56,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church of God in Christ (Mennonite),1-2-2,26,3,23,1832,163,1669,70,54,73,808,964,60,872,NA,960,18,18,78850,4381,2,4709,3,3,5550,1850,NA,NA,15,15,73300,4887,2,4709,18,7705,4192,1863,1650,428,2,690,50,490,150,345,16,7015,4142,1373,1500,438,NA,NA,NA,NA,NA,8,45,436,55,1,3,14,NA,7,42,422,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
