denomination_name,denomination_id,published_churches_count,churches_urban,churches_rural,members_total,members_urban,members_rural,members_average_total,members_average_urban,members_average_rural,members_male,members_female,members_sex_unreported,members_over_13,members_under_13,members_age_unreported,church_edifices,churches_reporting_value,churches_value,churches_average_value,churches_reporting_debt,churches_debt,urban_church_edifices,urban_churches_reporting_value,urban_churches_value,urban_churches_average_value,urban_churches_reporting_debt,urban_churches_debt,rural_church_edifices,rural_churches_reporting_value,rural_churches_value,rural_churches_average_value,rural_churches_reporting_debt,rural_churches_debt,churches_reporting_expenditures,total_expenditures,expenses,benevolences,unclassified_expenditures,expenditures_average,urban_churches_reporting_expenditures,urban_total_expenditures,urban_expenses,urban_benevolences,urban_unclassified_expenditures,urban_expenditures_average,rural_churches_reporting_expenditures,rural_total_expenditures,rural_expenses,rural_benevolences,rural_unclassified_expenditures,rural_expenditures_average,parsonage_value_churches_reporting,parsonage_value,parsonage_value_average,parsonage_debt_churches_reporting,parsonage_debt,sunday_schools_churches_reporting,sunday_schools_officers_teachers,sunday_schools_scholars,sunday_schools_scholars_average,urban_sunday_schools_churches_reporting,urban_sunday_schools_officers_teachers,urban_sunday_schools_scholars,urban_sunday_schools_scholars_average,rural_sunday_schools_churches_reporting,rural_sunday_schools_officers_teachers,rural_sunday_schools_scholars,rural_sunday_schools_scholars_average,Start Table 33,black_part_whole_churches,black_churches_total ,black_churches_urban,black_churches_rural,black_members_total,black_members_urban,black_members_rural,black_members_average_total,black_members_average_urban,black_members_average_rural,black_members_male,black_members_female,black_members_sex_unreported,Start Table 34,black_church_edifices,black_churches_reporting_value,black_churches_value,black_churches_average_value,black_churches_reporting_debt,black_churches_debt,black_urban_church_edifices,black_urban_churches_reporting_value,black_urban_churches_value,black_urban_churches_average_value,black_urban_churches_reporting_debt,black_urban_churches_debt,black_rural_church_edifices,black_rural_churches_reporting_value,black_rural_churches_value,black_rural_churches_average_value,black_rural_churches_reporting_debt,black_rural_churches_debt,Start Table 35,black_churches_reporting_expenditures,black_total_expenditures,black_expenses,black_benevolences,black_unclassified_expenditures,black_expenditures_average,black_urban_churches_reporting_expenditures,black_urban_total_expenditures,black_urban_expenses,black_urban_benevolences,black_urban_expenditures_average,black_rural_churches_reporting_expenditures,black_rural_total_expenditures,black_rural_expenses,black_rural_benevolences,black_rural_expenditures_average,Start Table 36,black_parsonage_value_churches_reporting,black_parsonage_value,black_parsonage_value_average,black_parsonage_debt_churches_reporting,black_parsonage_debt,black_sunday_schools_churches_reporting,black_sunday_schools_officers_teachers,black_sunday_schools_scholars,black_sunday_schools_scholars_average,black_urban_sunday_schools_churches_reporting,black_urban_sunday_schools_officers_teachers,black_urban_sunday_schools_scholars,black_urban_sunday_schools_scholars_average,black_rural_sunday_schools_churches_reporting,black_rural_sunday_schools_officers_teachers,black_rural_sunday_schools_scholars,black_rural_sunday_schools_scholars_average
Old Order Mennonite Church (Wisler),1-2-3,19,2,17,2227,75,2152,117,38,127,1083,1144,NA,2047,NA,180,19,18,68700,3817,NA,NA,1,1,3000,NA,NA,NA,18,17,65700,3865,NA,NA,12,2504,376,2128,NA,209,1,100,75,25,NA,NA,11,2404,301,2103,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reformed Mennonite Church,1-2-4,31,6,25,1117,177,940,38,30,38,387,652,78,1039,NA,78,28,28,108800,3886,NA,NA,5,5,14800,2960,NA,NA,23,23,94000,4087,NA,NA,27,20565,8508,11232,825,762,4,1715,296,994,425,429,23,18850,8212,10238,400,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Conference of the Mennonite Church of North America,1-2-5,136,19,117,21582,3106,18476,159,163,158,7805,8638,5139,18706,8,2868,131,130,1212350,9326,13,20995,19,18,330600,18367,5,15600,112,112,881750,7873,8,5395,131,378794,196411,182383,NA,2892,18,65489,41205,24284,NA,3638,113,313305,155206,158099,NA,2773,22,112850,5130,4,6700,130,1923,23537,181,18,325,3237,180,112,1598,20300,181,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Defenseless Mennonites,1-2-6,10,NA,10,1060,NA,1060,106,NA,106,469,591,NA,824,69,167,10,10,87200,8720,1,4500,NA,NA,NA,NA,NA,NA,10,10,87200,8720,1,4500,10,37001,13611,23390,NA,3700,NA,NA,NA,NA,NA,NA,10,37001,13611,23390,NA,3700,2,6500,3250,NA,NA,10,154,1386,139,NA,NA,NA,NA,10,154,1386,139,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mennonite Brethren In Christ,1-2-7,99,41,58,5882,3117,2765,59,76,48,1911,2914,1057,4202,365,1315,99,90,544643,6052,22,58677,43,39,382850,9817,17,54927,56,51,161793,3172,5,3750,96,229803,133004,65781,31018,2394,41,136347,81856,39829,14662,3326,55,93456,51148,25952,16356,1699,51,200600,3933,15,26888,93,1216,8560,92,40,659,4750,119,53,557,3810,72,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mennonite Brethren Church of North America,1-2-8,61,7,54,6484,646,5838,106,92,108,3032,3423,29,6199,232,53,50,49,318920,6509,12,11692,6,6,46700,7783,2,3472,44,43,272220,6331,10,8220,54,118384,59926,58458,NA,2192,7,9616,5069,4547,NA,1374,47,108768,54857,53911,NA,2314,2,2500,1250,1,1500,50,642,7575,152,7,76,899,128,43,566,6676,155,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krimmer Brueder-Gemeinde,1-2-9,14,2,12,797,219,578,57,110,48,339,458,NA,757,40,NA,17,14,54105,3865,7,1800,2,2,17200,8600,NA,NA,15,12,36905,3075,7,1800,14,13543,6088,7455,NA,967,2,5205,2125,3080,NA,2603,12,8338,3963,4375,NA,695,2,7000,3500,NA,NA,14,118,1182,84,2,30,285,143,12,88,897,75,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mennonite Kleine Gemeinde,1-3-0,4,NA,4,214,NA,214,54,NA,54,93,121,NA,30,NA,184,4,4,6700,1675,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6700,1675,NA,NA,4,486,486,NA,NA,122,NA,NA,NA,NA,NA,NA,4,486,486,NA,NA,122,NA,NA,NA,NA,NA,3,6,150,50,NA,NA,NA,NA,3,6,150,50,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Conference of Mennonites,1-3-1,29,10,19,3124,1153,1971,108,115,104,1406,1718,NA,2857,267,NA,25,24,263000,10958,3,22500,10,9,110000,12222,2,10500,15,15,153000,10200,1,12000,29,100747,76306,24441,NA,3474,10,27091,20520,6571,NA,2709,19,73656,55786,17870,NA,3877,3,12000,4000,NA,NA,28,485,3614,129,9,174,1505,167,19,311,2109,111,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Confrence of the Defenseless Mennonites of North America,1-3-2,9,2,7,818,184,634,91,92,91,357,461,NA,817,1,NA,9,9,60900,6767,2,282,2,2,28500,14250,NA,NA,7,7,32400,4629,2,282,9,14680,5864,8816,NA,1631,2,4921,3365,1556,NA,2461,7,9759,2499,7260,NA,1394,2,17500,8750,NA,NA,8,143,1415,177,2,55,513,257,6,88,902,150,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stauffer Mennonite Church,1-3-3,4,NA,4,243,NA,243,61,NA,61,111,132,NA,243,NA,NA,3,2,4500,2250,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4500,2250,NA,NA,1,180,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,180,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unaffiliated Mennonnite Congregations,2-2-7,5,1,4,348,32,316,70,NA,79,168,180,NA,345,3,NA,3,3,23000,7667,NA,NA,NA,NA,NA,NA,NA,NA,3,3,23000,7667,NA,NA,4,5150,2695,2455,NA,1288,NA,NA,NA,NA,NA,NA,4,5150,2695,2455,NA,1288,1,2060,NA,NA,NA,4,50,370,93,1,12,70,NA,3,38,300,100,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methodist Episcopal Church,1-3-4,26130,5489,20641,4080777,2212180,1868597,156,403,91,1518791,2274615,287371,3250505,313840,516432,25570,25290,406165659,16060,5064,42749854,5516,5358,274162895,51169,2286,35971915,20054,19932,132002764,6623,2778,6777939,25790,89422307,68949285,20462262,10760,3467,5466,57411370,43038086,14372684,600,10503,20324,32010937,25911199,6089578,10160,1575,13665,60724434,4444,2041,4547967,24730,382043,3796561,154,5404,156744,1910259,353,19326,225299,1886302,98,,26130,3734,805,2938,332347,149559,182788,89,186,62,117176,192905,NA,,3572,3552,18938246,5332,1095,2389675,769,758,12914353,17037,369,2048398,2803,2794,6023983,2156,726,341277,,3682,3694508,3138411,550561,5536,1003,793,2112660,1797791,314869,2664,2889,1581848,1340620,235692,548,,1419,2922791,2060,312,282053,3527,25846,196496,56,778,8712,83357,107,2749,17134,113139,41
Methodist Protestant Church ,1-3-5,2239,252,1987,192171,55652,136519,86,221,69,75408,106952,9811,150373,11551,30247,2109,2094,16817278,8031,249,1496175,250,246,9763034,39687,104,1239139,1859,1848,7054244,3817,145,257036,2160,3137211,2581210,547120,8881,1452,248,1536361,1277997,256758,1606,6195,1912,1600850,1303213,290362,7275,837,737,2951550,4005,109,204888,1917,19171,173438,90,243,4785,57224,235,1674,14386,116214,69,,2239,46,9,37,2529,305,2224,55,34,60,725,1164,640,,44,44,91650,2083,9,4998,9,9,26000,2889,3,3155,35,35,65650,1876,6,1843,,44,11495,8946,2299,250,261,9,2772,2370,402,308,35,8723,6576,1897,249,,3,2100,700,1,700,42,207,1283,31,8,34,203,25,34,173,1080,32
Wesleyan Methodist Connection (or Church) of America,1-3-6,619,139,480,21910,6958,14952,35,50,31,8117,13300,493,19115,1096,1699,572,555,1804719,3252,108,201660,131,125,881800,7054,57,169409,441,430,922919,2146,51,32251,585,773981,578681,193725,1575,1323,136,325498,252345,73153,NA,2393,449,448483,326336,120572,1575,999,262,538394,2055,58,62592,561,4739,34314,61,134,1475,12304,92,427,3264,22010,52,,619,26,10,16,1215,672,543,47,67,34,424,791,NA,,22,22,83100,3777,1,3600,9,9,67300,7478,1,3600,13,13,15800,1215,NA,NA,,25,16679,13781,2898,NA,667,10,11777,10422,1355,1178,15,4902,3359,1543,327,,4,4600,1150,NA,NA,26,196,1084,42,10,96,578,58,16,100,506,32
Primitive Methodist Church in the United States of America,1-3-7,80,54,26,11990,10348,1642,150,192,63,4539,7451,NA,10567,1286,137,83,79,1676800,21225,27,121049,55,54,1524700,28235,26,119249,28,25,152100,6084,1,1800,80,326598,270508,56090,NA,4082,54,283430,236375,47055,NA,5249,26,43168,34133,9035,NA,1660,63,406300,6449,13,29800,78,1571,15190,195,54,1249,12591,233,24,322,2599,108,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methodist Episcopal Church, South",1-3-8,18096,1680,16416,2487694,886765,1600929,137,528,98,962356,1270526,254812,1820330,239647,427717,16582,16443,161986430,9851,2158,16072816,1686,1626,94481204,58107,690,12500521,14896,14817,67505226,4556,1468,3572295,17798,41651150,29809625,11168543,672982,2340,1671,22323410,15464809,6480468,378133,13359,16127,19327740,14344816,4688075,294849,1198,5973,24914300,4171,1025,1891168,15525,166752,1802464,116,1638,51322,672732,411,13887,115430,1129732,81,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congregational Methodist Church,1-3-9,145,10,135,9691,930,8761,67,93,65,4020,5671,NA,7347,299,2045,110,110,127775,1162,5,998,8,8,15000,1875,1,264,102,102,112775,1106,4,734,120,29529,22557,6662,310,246,8,4124,3473,651,NA,516,112,25405,19084,6011,310,227,1,5000,NA,1,1000,80,515,4807,60,7,48,667,95,73,467,4140,57,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Methodist Church Of North America,1-4-0,1375,492,883,36374,20905,15469,26,42,18,12287,23602,485,32561,1132,2681,1207,1140,4921760,4317,139,292817,463,435,3382005,7775,94,241554,744,705,1539755,2184,45,51263,1269,1617802,1241701,329741,46360,1275,468,1027993,793393,212790,21810,2197,801,589809,448308,116951,24550,736,783,2144535,2739,144,157108,1026,9458,69549,68,437,4946,40817,93,589,4512,28732,49,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Congregational Methodist Church,1-4-1,26,1,25,1229,74,1155,47,NA,46,415,814,NA,927,14,288,22,21,23900,1138,NA,NA,1,1,2500,NA,NA,NA,21,20,21400,1070,NA,NA,19,1234,954,280,NA,65,NA,NA,NA,NA,NA,NA,19,1234,954,280,NA,65,NA,NA,NA,NA,NA,3,18,126,42,1,8,81,NA,2,10,45,23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holiness Methodist Church,0-7-8,7,NA,7,459,NA,459,66,NA,66,217,242,NA,459,NA,NA,7,7,18500,2643,NA,NA,NA,NA,NA,NA,NA,NA,7,7,18500,2643,NA,NA,7,2073,1934,139,NA,296,NA,NA,NA,NA,NA,NA,7,2073,1934,139,NA,296,NA,NA,NA,NA,NA,7,68,531,76,NA,NA,NA,NA,7,68,531,76,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reformed Methodist Church,2-3-6,14,2,10,390,112,278,28,28,28,157,199,34,374,9,7,13,13,26300,2023,3,2546,3,3,9800,3267,1,2200,10,10,16500,1650,2,346,13,9176,6064,2045,1067,706,4,3478,1910,501,1067,870,9,5698,4154,1544,NA,633,2,3000,1500,NA,NA,12,82,356,30,4,28,111,28,8,54,245,31,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Methodist Episcopal Church,1-4-2,6708,1599,5109,545814,272765,273049,81,171,53,165615,295137,85062,358833,42230,144751,5927,5829,32092549,5506,1908,3332972,1446,1424,23994224,16850,728,2782754,4481,4405,8098325,1838,1180,550218,6492,7600161,6205632,1257397,137132,1171,1532,4803582,3993308,726635,83639,3135,4960,2796579,2212324,530762,53493,564,2134,4857996,2276,354,357137,5884,43383,288247,49,1454,16544,139608,96,4430,26839,148639,34,,6708,6708,1599,5109,545814,272765,273049,81,171,53,165515,295137,85062,,5927,5829,32092549,5506,1908,3332972,1446,1424,23994224,16850,728,2782754,4481,4405,8098325,1838,1180,550218,,6492,7600161,6205632,1257397,137132,1171,1532,4803582,3993308,726635,3135,4960,2796579,2212324,530762,564,,2134,4857996,2276,354,357137,5884,43383,288247,49,1454,16544,139608,96,4430,26839,148639,34
African Methodist Episcopal Church Zion Church,1-4-3,2466,650,1816,456813,193926,262887,185,298,145,167432,289381,NA,391960,57977,6876,2370,2370,18515723,7813,514,1837352,615,615,13451618,21873,245,1602747,1755,1755,5064105,2886,269,234606,2464,4757066,4091023,662993,3050,1931,649,2576570,2284192,292378,NA,3970,1815,2180496,1806831,370615,3050,1201,478,1916950,4010,72,111973,2429,45087,267141,110,640,14200,103542,162,1789,30887,163599,91,,2466,2466,650,1816,456813,193926,2629887,185,298,145,167432,289381,NA,,2370,2370,18515723,7813,514,1837352,615,615,13451618,21873,245,1602747,1755,1755,5064105,2886,269,234605,,2464,4757066,4091023,662993,3050,1931,649,2576570,2284192,292378,3970,1815,2180496,1806831,370615,1201,,478,1916950,4010,72,111973,2429,45087,267141,110,640,14200,103542,162,1789,30887,163599,91
Colored Methodist Protestant Church,1-4-4,2518,567,1951,202713,79183,123530,81,140,63,65781,107807,29125,129643,14964,NA,3,3,36000,12000,1,1200,3,3,36000,12000,1,1200,NA,NA,NA,NA,NA,NA,3,6685,5660,1025,NA,2228,3,6685,5660,1025,NA,2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,98,33,3,18,98,33,NA,NA,NA,NA,,3,3,3,NA,533,533,NA,178,178,NA,194,339,NA,,3,3,36000,12000,1,1200,3,3,36000,12000,1,1200,NA,NA,NA,NA,NA,NA,,3,6685,5660,1025,NA,2228,3,6685,5660,1025,2228,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,3,18,98,33,3,18,98,33,NA,NA,NA,NA
Union American Methodist Episcopal Church,1-4-5,73,37,36,10169,7043,3126,139,190,87,4223,5946,NA,7949,2007,213,65,64,478951,7484,23,42294,33,32,380150,11880,15,39464,32,32,98801,3088,8,2830,68,222621,202075,20546,NA,3274,35,159514,145485,14029,NA,4558,33,63107,56590,6517,NA,1912,15,57100,3807,11,14144,69,428,4240,61,37,268,3019,82,32,160,1221,38,,73,73,37,36,10169,7043,3126,139,190,87,4223,5946,NA,,65,64,478951,7484,23,42294,33,32,380150,11880,15,39464,32,32,98801,3088,8,2830,,68,222621,202075,20546,NA,3274,35,159514,145485,14029,4558,33,63107,56590,6517,1912,,15,57100,3807,11,14144,69,428,4240,61,37,268,3019,82,32,160,1221,38
African Union Methodist Protestant Church,1-4-6,43,23,20,4086,2707,1379,95,118,69,1255,1786,1045,2548,378,1160,43,40,476269,11907,17,21925,21,20,381483,19074,14,20675,22,20,94786,4739,3,1250,43,99563,88272,11291,NA,2315,23,64186,56738,7448,NA,2791,20,35377,31534,3843,NA,1769,15,44050,2937,3,3273,42,273,2851,68,22,142,1724,78,20,131,1127,56,,43,43,23,20,4086,2707,1379,95,118,69,1255,1786,1045,,43,40,476269,11907,17,21925,21,20,381483,19074,14,20675,22,20,94786,4739,3,1250,,43,99563,88272,11291,NA,2315,23,64186,56738,7448,2791,20,35377,31534,3843,1769,,15,44050,2937,3,3273,42,273,2851,68,22,142,1724,78,20,131,1127,56
Colored Methodist Episcopal Church,1-4-7,2518,567,1951,202713,79183,123530,81,140,63,65781,107807,29125,129643,14964,58106,2346,2341,9211437,3935,591,960124,524,521,5791115,11115,229,821462,1822,1820,3420322,1879,362,138,2477,2428234,1934540,417038,76656,980,558,1191659,962220,189414,40025,2136,1919,1236575,972320,227624,36631,644,530,984660,1858,109,93929,2351,15666,103523,44,540,4413,34571,64,1811,11253,68952,38,,2518,2518,567,1951,202713,79183,123530,81,140,63,65781,107807,29125,,2346,2341,9211437,3935,591,960124,524,521,5791115,11115,229,821462,1822,1820,3420322,1879,362,138662,,2477,2428234,1934540,417038,76656,980,558,1191659,962220,189414,2136,1919,1236575,972320,227624,644,,530,984660,1858,109,93929,2351,15666,103523,44,540,4413,34571,64,1811,11253,68952,38
Reformed Zion Union Apostolic Church,1-4-8,48,5,43,4538,651,3887,95,130,90,1876,2544,118,3723,346,469,46,45,184075,4091,17,11681,3,3,57000,19000,3,9000,43,42,127075,3026,14,2681,44,37601,24267,13334,NA,855,5,10292,7264,3028,NA,2058,39,27309,17003,10306,NA,700,1,500,NA,1,200,42,325,2882,69,5,37,394,79,37,288,2488,67,,48,48,5,43,4538,651,3887,95,130,90,1876,2544,118,,46,45,184075,4091,17,11681,3,3,57000,19000,3,9000,43,42,127075,3026,14,2681,,44,37601,24267,13334,NA,855,5,10292,7264,3028,2058,39,27309,17003,10306,700,,1,500,NA,1,200,42,325,2882,69,5,37,394,79,37,288,2488,67
Reformed Methodist Union Episcopal Church,1-5-0,25,7,18,2265,486,1779,91,69,99,764,1501,NA,1963,100,202,28,21,74800,3562,5,3710,9,4,29450,7363,2,2800,19,17,45350,2668,3,910,24,17282,14744,2538,NA,720,6,7064,6255,809,NA,1177,18,10218,8489,1729,NA,568,6,7500,1250,NA,NA,19,107,673,35,3,21,78,26,16,86,595,37,,25,25,7,18,2265,486,1779,91,69,99,764,1501,NA,,28,21,74800,3562,5,3710,9,4,29450,7363,2,2800,19,17,45350,2668,3,910,,24,17282,14744,2538,NA,720,6,7064,6255,809,1177,18,10218,8489,1729,568,,6,7500,1250,NA,NA,19,107,673,35,3,21,78,26,16,86,595,37
Independent African Methodist Episcopal Church,2-2-8,29,8,21,1003,424,579,35,53,28,351,652,NA,877,36,90,29,28,98050,3502,14,35619,8,7,74000,10571,6,31297,21,21,24050,1145,8,4322,27,11704,9958,1746,NA,433,8,7837,7374,463,NA,980,19,3867,2584,1283,NA,204,3,7500,2500,2,1750,26,141,663,26,8,44,280,35,18,97,383,21,,29,29,8,21,1003,424,579,35,53,28,351,652,NA,,29,28,98050,3502,14,35619,8,7,74000,10571,6,31297,21,21,24050,1145,8,4322,,27,11704,9958,1746,NA,433,8,7837,7374,463,980,19,3867,2584,1283,204,,3,7500,2500,2,1750,26,141,663,26,8,44,280,35,18,97,383,21
Moravian Church in America,1-5-1,127,57,70,31699,20111,11588,250,353,166,14149,17550,NA,25012,6433,254,156,125,4071550,32572,23,155456,75,55,3429000,62345,16,148006,81,70,642550,9179,7,7450,126,738814,511862,226952,NA,5864,57,579135,389105,190030,NA,10160,69,159679,122757,36922,NA,2314,90,712000,7911,11,20275,122,1846,19832,163,55,1125,12063,219,67,721,7769,116,,127,1,1,NA,694,694,NA,NA,NA,NA,250,444,NA,,1,1,30000,NA,NA,NA,1,1,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,4475,3555,920,NA,NA,1,4475,3555,920,NA,NA,NA,NA,NA,NA,,1,10000,NA,NA,NA,1,21,208,NA,1,21,208,NA,NA,NA,NA,NA
